society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,extra_rooms,floorNum,agePossession,built_up_area,furnishing_type,luxury_score
mapsko casa bella,1.25,sector 82,7046.223224351747,3,4,3+,0,8,Under Construction,1774.0,0,54
unitech uniworld gardens,1.05,sector 47,9476.534296028882,2,2,2,0,3,Relatively New,1108.0,2,34
ild grand,0.66,sector 37c,5038.167938931298,2,2,3+,0,14,Relatively New,1310.0,0,60
m3m capital,1.83,sector 113,13969.465648854963,2,2,0,0,7,New Property,1310.0,0,68
unitech vistas,0.53,sector 70,5348.133198789102,2,2,2,1,9,Under Construction,991.0,0,24
ramprastha the edge towers,0.8,sector 37d,6153.846153846154,2,2,3,0,2,Relatively New,1300.0,0,78
smart world gems,1.71,sector 89,12016.86577652846,3,2,0,0,3,New Property,1423.0,0,45
sapphire eighty three,0.65,sector 83,9285.714285714286,1,1,0,0,6,Relatively New,700.0,0,0
pareena coban residences,1.3,sector 99a,6509.764646970456,3,3,0,0,16,New Property,1997.0,0,0
sare crescent parc,0.82,sector 92,5384.110308601444,3,3,3+,0,12,Relatively New,1523.0,0,0
