price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
1.25,sector 89,1423.0,3,3,0,0,New Property,0,Medium,Mid Floor
4.5,sector 66,3321.0,5,5,3+,1,New Property,0,Medium,High Floor
0.64,sector 15 part 1,905.0,2,2,1,0,New Property,0,Low,Low Floor
0.28,sohna road,743.0,2,2,1,0,Relatively New,0,Low,High Floor
3.87,sector 61,1712.0,3,4,3+,1,Under Construction,0,Medium,High Floor
1.38,sector 109,2419.0,3,3,1,0,Moderately Old,0,Low,Mid Floor
0.43,sector 4,722.0,2,2,1,0,Relatively New,0,Low,Low Floor
0.28,sector 110,1000.0,2,1,1,1,Relatively New,0,Low,Low Floor
1.1,sector 37d,1242.0,2,2,2,0,Relatively New,0,Medium,Mid Floor
2.0,sector 65,1433.0,2,2,2,0,Relatively New,0,Low,High Floor
0.9,sohna road,1014.0,3,2,2,0,Under Construction,0,Medium,Low Floor
0.9,sohna road,1120.0,3,2,0,0,Under Construction,0,Medium,Low Floor
1.75,sector 33,1996.0,3,3,0,0,Under Construction,0,Medium,Low Floor
0.93,sector 68,1200.0,2,2,2,0,New Property,0,Low,High Floor
1.8,sector 90,2468.0,4,4,3+,0,Moderately Old,0,Medium,High Floor
2.1,sector 33,1619.0,3,3,2,0,Under Construction,0,Low,Mid Floor
2.0,sector 22,1533.0,2,2,2,0,Relatively New,0,Low,Mid Floor
2.0,sector 63a,1540.0,3,3,2,0,Under Construction,0,Low,Low Floor
1.29,sector 88a,1642.0,3,3,3,2,New Property,0,Medium,Mid Floor
2.85,sector 65,1654.0,3,3,3,0,Under Construction,0,Medium,High Floor
1.1,sector 79,2167.0,3,3,3,0,Relatively New,2,Medium,Low Floor
1.65,sector 61,1333.0,2,2,2,1,Under Construction,0,Low,Low Floor
0.24,sohna road,360.0,1,1,2,0,New Property,0,Medium,Low Floor
2.1,sector 77,1600.0,3,4,3+,1,New Property,2,Medium,High Floor
1.9,sector 33,2143.0,3,3,3+,1,New Property,0,Medium,High Floor
1.1,sector 79,958.0,2,2,3,0,New Property,0,Medium,Mid Floor
0.32,sector 95,563.0,2,2,1,1,Relatively New,1,Low,Mid Floor
1.7,sector 109,965.0,1,1,2,0,Relatively New,0,Low,Mid Floor
0.32,sector 99a,473.0,2,2,2,0,New Property,0,Medium,Low Floor
0.45,sector 86,646.0,2,2,1,0,Under Construction,0,Medium,Mid Floor
1.2,sector 78,823.0,1,2,2,0,Under Construction,0,Low,High Floor
2.1,sector 65,1186.0,2,2,2,0,New Property,0,Medium,High Floor
0.42,sector 4,833.0,2,2,1,0,Relatively New,2,Low,Mid Floor
1.55,sector 33,1730.0,3,2,3+,0,New Property,0,Low,Mid Floor
1.3,dwarka expressway,1303.0,3,3,2,0,Under Construction,0,Low,Mid Floor
2.75,sector 113,2886.0,4,4,3+,3,Under Construction,1,Medium,High Floor
1.25,sector 103,1464.0,3,3,3+,1,New Property,0,Medium,Low Floor
0.42,sector 63a,630.0,3,2,2,0,Under Construction,0,Low,Low Floor
0.4,sohna road,615.0,2,2,1,0,New Property,0,Low,Mid Floor
0.34,sohna road,699.0,2,2,1,0,New Property,0,Low,Low Floor
1.25,sector 89,1288.0,3,3,3,2,New Property,0,Medium,Mid Floor
1.5,sector 77,1310.0,3,3,3,0,Relatively New,2,Medium,Mid Floor
1.3,dwarka expressway,1267.0,3,3,2,0,Under Construction,0,Low,Mid Floor
1.6,sector 99a,1810.0,3,3,3,0,Under Construction,0,Low,Mid Floor
1.5,sector 113,1418.0,2,2,2,0,New Property,0,Medium,High Floor
1.5,sector 113,1155.0,2,2,2,0,New Property,0,Medium,High Floor
0.9,sector 104,1259.0,2,2,0,0,Relatively New,0,Low,High Floor
1.5,sector 52,1484.0,4,4,3,0,Old Property,0,Medium,Mid Floor
0.8,sector 67,610.0,1,1,0,0,Relatively New,0,Low,Low Floor
1.25,sector 86,1529.0,3,2,1,0,New Property,0,Low,High Floor
0.26,sohna road,535.0,2,2,1,0,Relatively New,0,Low,Low Floor
0.42,sohna road,590.0,2,2,1,0,New Property,2,Medium,High Floor
2.5,sector 43,1935.0,3,3,2,0,New Property,0,Low,Low Floor
0.9,sector 78,1900.0,3,3,2,2,Moderately Old,0,Medium,Low Floor
0.42,sector 92,657.0,2,2,1,2,Relatively New,2,Low,Mid Floor
