price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
6.5,sector 24,3889.0,4,5,3+,1,New Property,1,Low,Mid Floor
3.63,heritage city,2778.0,3,3,1,2,Old Property,0,Medium,High Floor
1.85,sector 79,1650.0,3,3,3,1,New Property,0,Medium,Mid Floor
2.45,sector 103,2602.0,4,6,3,1,Relatively New,0,Low,Mid Floor
1.38,sector 85,1616.0,3,4,2,1,Relatively New,0,Medium,Mid Floor
5.9,gwal pahari,4842.0,4,4,3+,4,New Property,2,High,High Floor
3.0,sector 82,4425.0,4,6,3+,2,Relatively New,2,Medium,High Floor
2.01,sector 1,1956.0,4,4,3+,0,Moderately Old,1,Low,Mid Floor
2.1,sector 38,1954.0,4,4,3+,0,Old Property,1,Low,Mid Floor
4.25,sector 24,3201.0,3,4,3+,2,Old Property,2,Medium,Mid Floor
2.55,sector 49,2060.0,3,4,3,1,Relatively New,2,Low,Mid Floor
2.0,sector 52,2091.0,4,3,3,1,Moderately Old,1,Medium,Mid Floor
3.25,sector 50,2819.0,3,4,3+,1,Old Property,2,Medium,Mid Floor
1.6,dwarka expressway,1529.0,3,3,3,0,New Property,0,Low,Low Floor
1.5,sector 2,1738.0,3,4,3+,1,Moderately Old,0,Medium,Mid Floor
3.75,sector 108,2120.0,3,3,2,1,New Property,0,Medium,High Floor
0.95,sector 2,1573.0,2,2,3,0,Old Property,2,Medium,Mid Floor
1.4,sector 15,1444.0,4,3,3,0,Old Property,2,Medium,Mid Floor
1.56,sector 86,1580.0,3,4,3+,1,Relatively New,0,High,High Floor
1.35,sector 102,1315.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
1.4,sector 102,1166.0,2,2,2,0,New Property,2,Low,High Floor
2.26,sector 28,1700.0,3,3,2,1,Old Property,0,High,High Floor
1.2,sector 33,1492.0,2,2,2,1,New Property,0,Medium,Low Floor
2.08,sector 37d,2211.0,4,4,3,3,New Property,0,Medium,Low Floor
1.75,sector 85,2179.0,3,4,3,1,Relatively New,0,Low,Mid Floor
2.99,sector 67,2200.0,3,3,3,1,Relatively New,2,Low,Mid Floor
2.1,sector 62,1365.0,2,2,2,1,New Property,0,Medium,High Floor
2.87,sector 67,2095.0,3,3,3+,1,Relatively New,2,High,High Floor
2.35,sector 28,1608.0,3,3,2,1,Old Property,2,Medium,High Floor
3.0,ambience island,2778.0,3,4,3,0,Moderately Old,0,Low,Low Floor
6.0,ambience island,4889.0,4,6,3+,0,Moderately Old,0,Low,Mid Floor
2.35,sector 65,1650.0,3,3,3,2,Relatively New,0,High,Low Floor
1.9,sector 103,3716.0,3,4,3+,4,Relatively New,2,Low,Mid Floor
0.72,sector 85,1350.0,3,3,2,1,Moderately Old,0,Low,Mid Floor
0.65,manesar,1696.0,3,2,3+,0,Moderately Old,0,Low,Mid Floor
2.34,sector 81,1760.0,3,4,3+,1,Relatively New,1,High,High Floor
2.57,sector 113,2060.0,4,5,3+,1,Under Construction,1,Medium,High Floor
1.71,sector 37d,2191.0,3,3,3+,1,Relatively New,0,Low,Mid Floor
3.79,sector 110,3466.0,5,5,3,2,Relatively New,0,Medium,Mid Floor
2.05,sector 56,2600.0,4,4,3+,1,Old Property,2,Medium,Mid Floor
5.2,sector 65,2696.0,3,3,3,2,Relatively New,2,Medium,High Floor
3.2,sector 66,1995.0,3,3,3,4,Relatively New,0,Medium,High Floor
0.69,sector 30,896.0,2,2,1,0,Old Property,0,Medium,Mid Floor
3.75,sector 112,2225.56,3,3,2,1,Relatively New,2,High,High Floor
3.65,sector 112,2225.56,3,4,3+,1,Relatively New,2,High,High Floor
5.49,sector 112,3655.35,4,5,3+,1,Relatively New,2,High,Mid Floor
1.05,sector 84,1896.0,4,4,3+,1,New Property,0,Medium,Mid Floor
3.35,sector 108,1876.0,3,4,2,0,New Property,0,Medium,High Floor
2.4,sector 47,1888.0,3,3,3+,1,Moderately Old,2,Medium,Mid Floor
1.71,sector 56,2251.0,3,3,3+,1,Moderately Old,2,Medium,Mid Floor
6.3,sector 106,3797.0,5,6,3+,0,Under Construction,2,Medium,Mid Floor
2.2,sector 109,2576.0,3,3,2,1,Moderately Old,2,Medium,Mid Floor
3.25,sector 110,3077.0,4,4,3,2,Relatively New,0,Medium,High Floor
11.25,sector 48,4422.0,4,5,3+,2,Relatively New,0,Low,Low Floor
3.3,sector 33,2667.0,3,3,3,4,Under Construction,0,Medium,Low Floor
1.51,sector 2,1738.0,3,4,3+,1,Moderately Old,2,Medium,Mid Floor
1.38,sector 102,1315.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
4.6,sector 66,2882.0,3,3,3,4,Relatively New,0,Medium,High Floor
1.4,sector 102,1413.0,3,3,3,1,Relatively New,0,Low,Mid Floor
3.5,sector 65,1787.0,4,4,3,1,Relatively New,2,Medium,Mid Floor
0.99,sector 82,1620.0,3,4,2,1,New Property,0,Medium,High Floor
2.65,sector 65,1833.0,3,3,3,2,Relatively New,0,Low,Mid Floor
2.4,sector 45,1944.0,3,3,2,1,New Property,2,Low,Low Floor
1.65,sector 109,1946.0,3,3,3+,1,Relatively New,2,Low,High Floor
1.25,sector 9a,2007.0,4,3,3,1,Old Property,0,Low,Low Floor
4.0,sector 62,2343.0,3,3,3,1,New Property,2,Low,High Floor
1.8,sector 83,1549.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
1.75,sector 91,2107.0,4,3,3+,4,Relatively New,0,Medium,Mid Floor
2.35,sector 65,1650.0,3,3,2,2,Relatively New,0,High,Mid Floor
7.15,sector 62,3925.0,4,5,3+,3,Relatively New,2,High,Mid Floor
1.64,sector 77,1765.0,4,3,3,1,Relatively New,0,Medium,Mid Floor
2.8,sector 65,1493.0,3,3,2,1,Relatively New,0,Medium,Mid Floor
6.75,sector 54,2455.0,4,6,3+,1,Moderately Old,2,Medium,High Floor
3.5,sector 67,2225.0,3,4,3,2,Relatively New,2,High,High Floor
4.6,sector 65,1908.0,3,3,3,4,New Property,2,Medium,Mid Floor
2.25,sector 74,1900.0,3,3,3,1,Relatively New,0,High,Mid Floor
2.2,sector 82a,1893.0,3,3,3+,1,Relatively New,1,High,High Floor
2.85,sector 82a,2179.0,4,4,3+,1,New Property,1,High,Low Floor
1.76,sector 90,2020.0,4,4,3+,0,Relatively New,2,Medium,Mid Floor
1.0,sector 106,940.0,2,2,3+,0,New Property,2,Low,Low Floor
3.6,sector 61,2580.0,4,4,3,1,Moderately Old,2,Medium,Mid Floor
1.78,sector 85,2179.0,3,4,3+,1,New Property,0,Medium,Mid Floor
0.98,sector 71,1466.0,3,3,3,1,Moderately Old,0,Medium,Low Floor
2.82,sector 60,2400.0,3,3,3,1,Relatively New,2,High,Low Floor
3.21,sector 72,2140.0,3,4,3+,1,Relatively New,2,High,High Floor
1.9,sector 113,1285.0,3,2,2,1,Relatively New,2,High,Mid Floor
1.19,sector 90,1562.0,3,3,2,1,Relatively New,0,Medium,High Floor
1.35,sector 81,1438.0,3,3,3+,1,Moderately Old,2,Medium,Mid Floor
1.8,sector 69,2200.0,4,5,3+,1,Relatively New,0,High,Mid Floor
1.35,sector 103,1620.0,3,3,3+,1,Relatively New,2,High,Mid Floor
1.7,sector 109,2303.0,3,3,3+,1,Relatively New,0,High,Mid Floor
1.6,sector 82,2195.0,4,5,3+,1,Relatively New,0,Medium,Mid Floor
2.65,sector 60,2037.0,3,4,3+,1,Moderately Old,2,High,Mid Floor
0.55,sector 85,1050.0,2,2,2,1,Relatively New,0,High,Mid Floor
1.4,sector 102,1315.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
1.26,sector 2,1416.0,2,2,3,1,Moderately Old,0,Medium,Mid Floor
1.7,sector 107,2505.0,4,5,3+,1,Relatively New,0,Medium,Mid Floor
4.1,sector 22,2069.0,3,3,3+,0,New Property,1,Medium,Low Floor
1.01,sector 103,1338.0,2,2,3,1,Relatively New,2,High,Mid Floor
1.45,sector 99a,1807.0,3,5,3,2,Relatively New,2,Low,High Floor
1.6,sector 48,1895.0,3,3,3+,1,Old Property,2,Low,Mid Floor
2.99,sector 66,1800.0,3,3,3,1,Relatively New,2,Low,Mid Floor
1.9,sector 102,1757.0,3,4,3+,1,Relatively New,0,High,High Floor
1.75,sector 65,1081.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
1.3,sector 90,1700.0,3,3,3+,0,Relatively New,0,Medium,Mid Floor
2.95,sector 67,2150.0,3,3,3,1,Relatively New,2,High,Mid Floor
3.4,sector 67,2016.0,3,4,3,1,Relatively New,2,High,High Floor
3.32,sector 67,2016.0,3,4,3,1,New Property,2,High,Mid Floor
0.95,sector 2,1281.0,2,2,3,0,Moderately Old,2,Medium,Low Floor
1.55,sector 74,1300.0,2,2,3+,1,Relatively New,0,Medium,High Floor
1.54,sector 74,1200.0,2,2,3+,1,Relatively New,0,Medium,High Floor
2.45,sector 74,1800.0,3,3,3+,1,Relatively New,0,Medium,High Floor
2.6,sector 104,2061.0,3,4,3+,2,Relatively New,0,Medium,Mid Floor
1.83,sector 85,1925.0,3,4,3,0,Relatively New,0,Low,Mid Floor
1.09,sector 85,1475.0,2,2,3,0,Relatively New,0,Low,Mid Floor
1.87,sector 85,2225.0,3,4,3,0,Relatively New,0,Low,Mid Floor
1.05,sector 85,1512.0,2,2,3+,1,Relatively New,0,Medium,Mid Floor
1.77,sector 85,2179.0,3,4,3+,1,New Property,0,Medium,Mid Floor
2.2,sector 74,1826.0,3,3,3,1,New Property,2,Low,High Floor
0.6,sector 2,665.0,1,1,1,0,Moderately Old,2,Medium,Mid Floor
1.8,sector 47,2857.0,4,4,3+,1,Moderately Old,2,Medium,Mid Floor
0.64,manesar,1696.0,3,2,3+,0,Old Property,0,Medium,Mid Floor
0.75,manesar,1914.0,3,3,3+,1,Moderately Old,0,Low,Mid Floor
4.95,sector 65,2816.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
4.25,sector 112,3000.0,3,5,2,2,Relatively New,0,Medium,High Floor
5.31,sector 112,3573.33,4,6,3+,2,Relatively New,0,Medium,High Floor
1.4,sector 102,1300.0,3,3,3,1,Relatively New,0,Low,Mid Floor
2.8,sector 112,1939.03,2,3,2,2,Relatively New,0,Medium,Mid Floor
4.1,sector 110,3500.0,5,5,2,1,Relatively New,0,High,Mid Floor
3.4,sector 110,3000.0,4,5,3,1,Relatively New,0,High,Mid Floor
3.05,sector 60,2300.0,3,3,3,1,Relatively New,1,High,Mid Floor
4.25,sector 72,2941.0,4,4,3+,1,Relatively New,2,High,Low Floor
1.16,sector 82,1844.0,3,3,3+,3,Relatively New,2,High,Low Floor
3.55,sector 51,5200.0,5,6,3+,4,Moderately Old,2,High,High Floor
1.8,sector 102,1710.0,3,4,3,1,Relatively New,0,Low,High Floor
1.75,sector 102,1465.0,3,3,3+,0,Relatively New,0,Low,Low Floor
1.2,sector 102,1073.0,2,2,3,0,Relatively New,0,Low,Low Floor
1.52,sector 102,1315.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
1.55,sector 56,1900.0,3,3,3+,2,Moderately Old,2,Medium,Mid Floor
2.4,sector 81,1650.0,3,3,3+,1,Relatively New,1,Low,High Floor
2.35,sector 81,1550.0,3,3,3+,4,Relatively New,1,Low,High Floor
2.28,sector 81,1750.0,3,3,3+,1,Relatively New,1,Low,High Floor
1.1,sector 84,1584.0,3,3,2,0,Relatively New,0,Medium,Mid Floor
2.3,sector 81,1617.0,3,3,3+,4,Relatively New,1,Low,High Floor
1.35,sector 107,1950.0,3,4,3+,1,Relatively New,2,Medium,Mid Floor
2.45,sector 104,2131.0,3,4,3+,1,Relatively New,2,Medium,High Floor
0.9,sector 107,1281.0,2,2,3,1,Relatively New,2,Medium,Mid Floor
2.8,sector 65,2194.0,4,4,3,2,Relatively New,2,Medium,Low Floor
1.4,sector 50,1245.0,3,3,2,1,Relatively New,2,Medium,Mid Floor
1.36,sector 2,1611.0,3,3,3+,0,Moderately Old,2,Medium,Mid Floor
0.98,sector 2,1281.0,2,2,3,0,Moderately Old,2,Medium,Low Floor
0.56,sector 2,723.0,1,1,2,0,Moderately Old,0,Medium,Mid Floor
2.2,sector 84,3222.0,4,4,3,1,Relatively New,0,Low,Mid Floor
1.2,manesar,2944.0,3,3,3+,1,Moderately Old,0,Low,Mid Floor
1.33,sector 103,1671.0,3,3,3+,1,Relatively New,0,High,Mid Floor
0.87,sector 37c,1428.0,2,3,3+,1,New Property,0,Low,Mid Floor
1.09,sector 85,1638.0,2,2,3,1,Relatively New,0,High,Mid Floor
3.0,sector 66,1720.0,3,3,2,1,Relatively New,0,Medium,High Floor
1.75,sector 83,1549.0,3,3,3+,1,Relatively New,0,Medium,High Floor
1.75,sector 83,1549.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
3.8,sector 60,2791.0,4,5,3,1,Moderately Old,2,Medium,High Floor
3.5,sector 81,2577.0,4,5,3+,1,Relatively New,1,High,Mid Floor
1.78,sector 90,2000.0,4,4,3+,0,Relatively New,0,Medium,Mid Floor
1.08,sector 85,1200.0,2,2,3,4,New Property,2,High,Mid Floor
2.03,sector 85,2225.0,4,4,3+,1,Relatively New,0,Low,Mid Floor
1.12,sector 85,1485.0,2,2,3,1,Relatively New,0,Low,Mid Floor
2.0,sector 85,2545.0,4,5,3+,2,Relatively New,0,Medium,Low Floor
1.04,sector 85,1576.0,2,3,3+,1,Relatively New,0,Medium,Mid Floor
1.25,sector 85,1900.0,3,4,2,1,Relatively New,2,High,Mid Floor
2.05,sector 60,1520.0,2,3,2,1,Relatively New,2,High,Low Floor
3.19,sector 72,2376.0,4,5,3+,1,Relatively New,2,High,High Floor
3.85,sector 72,2629.0,4,5,3+,1,Relatively New,2,High,High Floor
3.2,sector 72,2600.0,4,4,3+,1,Moderately Old,2,High,Mid Floor
0.89,sector 84,1833.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
0.49,sector 84,1018.0,2,2,2,0,Relatively New,0,Medium,High Floor
1.65,sector 70,1765.0,3,4,3,2,Relatively New,0,Medium,High Floor
2.35,sector 81,2511.0,3,4,3+,1,Relatively New,0,Medium,Mid Floor
1.4,sector 81,1475.0,3,3,3+,0,Relatively New,0,Medium,Mid Floor
0.97,sector 82,1620.0,3,4,2,1,Relatively New,0,Medium,High Floor
2.35,sector 50,1900.0,3,3,3,0,Moderately Old,2,Low,Mid Floor
3.32,sector 67,2385.0,4,5,3+,1,Moderately Old,2,High,High Floor
1.25,sector 83,1700.0,3,3,2,1,Moderately Old,0,Medium,High Floor
2.8,sector 67,1971.0,3,3,3,1,Moderately Old,1,Low,Mid Floor
4.7,sector 65,1761.0,3,3,3+,2,Relatively New,2,Low,Mid Floor
1.3,sector 102,1388.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
0.62,sector 78,1115.0,2,2,1,1,Moderately Old,0,Medium,Mid Floor
0.8,sector 78,1472.0,3,2,2,1,Moderately Old,2,Medium,Mid Floor
1.73,sector 83,1600.0,3,3,3,1,Relatively New,2,High,Mid Floor
4.45,sector 81,3850.0,4,4,3+,4,Relatively New,2,Low,Mid Floor
2.3,sector 81,2280.0,3,4,3+,1,Relatively New,2,Low,Mid Floor
2.2,sector 81,1570.0,3,3,3+,4,Relatively New,1,Low,Mid Floor
2.12,sector 81,1650.0,3,3,3+,4,Relatively New,1,Low,Mid Floor
2.25,sector 81,1600.0,3,3,3+,4,Relatively New,1,Low,High Floor
1.9,sector 92,1920.0,4,4,3+,4,Relatively New,0,Low,Mid Floor
4.4,sector 81,3700.0,4,4,3+,4,New Property,1,Low,Mid Floor
1.75,sector 54,1900.0,4,3,3+,1,Old Property,2,Low,Mid Floor
2.8,sector 70a,1798.0,3,4,3,1,Relatively New,0,Low,High Floor
4.63,sector 22,2796.0,3,5,3+,2,New Property,0,Medium,Mid Floor
1.32,sector 68,1364.0,2,2,3,1,Relatively New,0,Medium,High Floor
1.16,sector 71,1577.0,3,3,3,1,Moderately Old,2,Medium,Mid Floor
0.27,sector 107,543.0,2,2,2,0,Relatively New,0,Low,Low Floor
0.28,sector 107,543.0,2,2,2,0,Relatively New,0,Low,Mid Floor
1.79,sector 77,1600.0,3,3,3,1,New Property,2,Low,Low Floor
1.55,sector 77,1800.0,4,4,3+,2,Relatively New,1,Low,Low Floor
1.55,sector 86,1500.0,3,3,3+,1,Relatively New,1,High,High Floor
3.35,sector 113,2200.0,3,4,3+,2,New Property,0,High,High Floor
3.5,sector 66,2150.0,3,4,3,1,Relatively New,0,Medium,Mid Floor
4.8,sector 53,2500.0,3,4,3+,3,Relatively New,2,High,Mid Floor
1.5,sector 54,1700.0,3,3,3+,1,Moderately Old,2,Medium,Mid Floor
2.78,sector 113,2350.0,3,4,3+,1,Relatively New,0,High,Mid Floor
2.25,sector 110,2350.0,4,4,3+,1,Relatively New,0,High,Low Floor
2.55,sector 70a,2000.0,3,3,3,3,New Property,2,High,High Floor
1.25,sector 83,1970.0,4,4,3,1,Moderately Old,0,Medium,High Floor
0.85,sector 83,1100.0,2,2,2,1,Moderately Old,2,Medium,High Floor
5.25,gwal pahari,5249.0,4,5,3+,3,New Property,0,Low,Low Floor
1.3,sector 79,1223.0,2,4,2,0,Relatively New,0,Medium,Mid Floor
0.75,sector 92,1298.0,3,2,2,0,New Property,0,Medium,Mid Floor
3.65,sector 67,2490.0,3,4,3+,2,Relatively New,2,Medium,High Floor
1.65,sector 90,2468.0,4,4,3+,0,Moderately Old,0,Medium,Mid Floor
1.25,sector 90,1700.0,3,3,3+,2,Relatively New,0,Medium,High Floor
1.42,sector 90,2139.0,4,4,3+,2,Moderately Old,0,Low,Mid Floor
1.27,sector 90,1500.0,3,3,3+,1,Relatively New,0,Medium,Low Floor
1.65,sector 90,1900.0,4,4,3+,1,Relatively New,0,Medium,Mid Floor
1.24,sector 90,1600.0,3,3,3+,1,Relatively New,0,Medium,Mid Floor
2.7,sector 50,2357.0,3,3,3+,1,Moderately Old,0,Medium,Mid Floor
1.98,sector 37d,1983.0,3,3,3+,1,New Property,2,Low,High Floor
2.5,sector 112,1939.03,2,2,3,2,Relatively New,2,High,Mid Floor
2.29,sector 65,1833.0,3,4,3+,2,Relatively New,1,High,Low Floor
2.98,sector 67,1852.0,3,3,3,1,Relatively New,2,Low,Low Floor
1.35,sector 83,1387.0,3,3,3,1,Relatively New,0,Low,Mid Floor
1.37,sector 56,1450.0,3,3,3+,1,Old Property,0,High,Low Floor
1.55,sector 56,1800.0,3,3,3+,3,Old Property,0,High,Mid Floor
4.25,sector 24,3201.0,3,4,3+,2,Old Property,2,Medium,Mid Floor
1.28,sector 82,1800.0,3,3,3,1,Relatively New,2,High,Mid Floor
1.95,sector 102,1465.0,3,3,3,1,New Property,0,Medium,High Floor
2.35,sector 81,2513.0,3,4,3+,1,Relatively New,2,Medium,Mid Floor
5.0,sector 65,2800.0,3,3,3+,2,Relatively New,2,High,High Floor
0.99,sector 37c,1643.0,3,3,1,1,New Property,0,Low,Mid Floor
1.95,sector 90,2456.0,4,4,3+,2,Relatively New,0,High,High Floor
3.3,sector 81,3070.0,4,5,3+,2,Relatively New,2,High,Mid Floor
4.75,sector 67,3200.0,4,4,3+,4,Relatively New,2,High,Low Floor
1.5,sector 74,1300.0,2,2,3,1,Relatively New,0,High,High Floor
1.54,sector 90,2200.0,4,4,3+,2,Moderately Old,2,Medium,High Floor
1.27,sector 86,1800.0,3,4,3,2,Relatively New,0,Medium,High Floor
1.17,sector 90,1630.0,3,3,3,0,Relatively New,2,Medium,High Floor
1.8,sector 82a,1545.0,3,3,3+,1,Relatively New,1,High,Mid Floor
0.8,sector 103,1089.0,2,2,3,1,New Property,0,High,Mid Floor
1.76,sector 48,1576.0,3,3,3+,2,Moderately Old,2,High,Mid Floor
2.22,sector 102,2000.0,3,4,3+,2,Relatively New,0,Medium,High Floor
1.24,sector 28,1050.0,2,2,3+,1,Moderately Old,2,High,High Floor
1.12,sector 79,1325.0,2,2,3,1,Relatively New,0,Low,Mid Floor
1.9,sector 102,1605.0,3,4,3,1,Relatively New,0,Medium,High Floor
1.35,sector 28,1120.0,2,2,2,1,Old Property,0,Medium,High Floor
2.22,sector 109,1896.0,3,3,3,2,Relatively New,0,Medium,High Floor
0.9,sector 108,1161.0,2,3,3,2,Relatively New,0,Medium,Mid Floor
1.75,sector 109,1946.0,3,4,3+,2,Relatively New,0,Medium,Low Floor
0.67,sector 85,1250.0,2,2,2,1,Relatively New,2,High,Mid Floor
2.95,sector 67,2236.0,3,3,3+,2,Moderately Old,2,High,High Floor
2.04,sector 61,1595.0,3,3,3+,1,Moderately Old,2,High,High Floor
2.24,sector 84,3165.0,4,4,3,1,Relatively New,0,Low,High Floor
1.31,sector 88a,1463.0,2,2,3+,1,Relatively New,0,Medium,Mid Floor
1.7,sector 65,1081.0,3,3,3,1,Relatively New,2,Medium,Mid Floor
1.19,sector 83,1778.0,3,3,2,1,Relatively New,2,Low,Mid Floor
1.75,sector 77,1900.0,3,3,3+,1,Relatively New,0,Medium,High Floor
1.12,sector 83,1500.0,3,3,2,0,Moderately Old,2,Medium,High Floor
0.92,manesar,1924.0,3,3,3+,1,Moderately Old,0,Low,Mid Floor
0.9,manesar,2070.0,3,3,3+,1,Moderately Old,0,Low,Mid Floor
2.3,sector 104,2217.0,3,4,3+,1,Moderately Old,0,Medium,Mid Floor
1.58,sector 104,1538.0,2,3,3,1,Relatively New,0,Medium,High Floor
4.25,sector 110,3511.0,5,5,3+,1,Relatively New,0,Medium,Mid Floor
1.68,sector 92,1804.0,3,4,3+,1,Relatively New,2,High,High Floor
4.55,sector 67,2833.0,4,4,3+,1,Relatively New,2,High,High Floor
2.85,sector 67,2127.0,4,4,3+,2,Moderately Old,2,Medium,Mid Floor
2.35,sector 67,1751.0,3,4,3+,1,Moderately Old,2,High,High Floor
2.3,sector 81,1893.0,3,4,3+,1,New Property,1,High,Mid Floor
2.26,sector 81,1900.0,3,4,3+,1,New Property,1,High,High Floor
4.78,sector 22,2500.0,3,4,3,2,Relatively New,1,Medium,Mid Floor
2.0,sector 70,2169.0,4,5,3+,1,Moderately Old,2,High,Mid Floor
3.75,sector 60,2650.0,4,4,3,1,Relatively New,2,Low,High Floor
6.16,sector 22,3333.0,4,5,3+,2,New Property,2,Low,Mid Floor
5.3,sector 65,2506.0,3,3,3,1,Moderately Old,1,Low,High Floor
0.75,sector 77,1140.0,2,2,2,1,Relatively New,2,Medium,Mid Floor
1.25,sector 79,1058.0,3,3,3,1,Relatively New,2,Medium,High Floor
2.0,sector 79,1963.0,3,4,3+,1,Relatively New,0,Medium,Mid Floor
1.3,sector 79,1176.0,3,3,3,1,Relatively New,2,Medium,High Floor
1.75,sector 39,2222.0,3,4,3,1,Old Property,1,Low,Mid Floor
2.0,sector 39,3556.0,5,4,3,1,Old Property,1,Low,Mid Floor
1.78,sector 70,1765.0,3,3,3+,2,Relatively New,0,Low,Mid Floor
1.15,sector 84,1394.0,2,2,3,1,Relatively New,0,Low,High Floor
1.65,sector 47,1906.0,3,3,3,1,Old Property,2,Medium,Low Floor
0.21,sector 92,336.0,1,1,1,0,Relatively New,0,Medium,Low Floor
2.75,sector 43,2222.0,3,4,3+,2,Moderately Old,2,Low,Mid Floor
2.72,sector 67,2250.0,4,4,3+,2,Relatively New,2,Medium,Low Floor
2.4,sector 47,1916.0,3,4,3+,1,Moderately Old,0,Medium,Mid Floor
4.1,sector 72,2308.0,3,3,3,1,Moderately Old,0,Low,Mid Floor
1.12,sector 71,1631.0,3,4,3,1,Moderately Old,0,Medium,Low Floor
0.65,sector 90,1222.0,2,2,3,1,Moderately Old,2,Medium,Mid Floor
7.5,gwal pahari,9050.0,5,6,3+,3,Relatively New,0,Low,High Floor
11.0,sector 54,3444.0,4,5,3+,3,Relatively New,0,Low,Mid Floor
1.26,sector 90,1603.0,3,3,3,1,Relatively New,2,Low,Mid Floor
1.8,sector 90,2005.0,4,4,3+,0,Moderately Old,0,Low,Mid Floor
5.9,sector 65,3043.0,3,3,3,2,Relatively New,0,Medium,High Floor
2.9,sector 49,2157.0,4,4,3+,1,Moderately Old,0,Medium,Mid Floor
1.59,sector 86,1700.0,3,3,3,1,Relatively New,2,High,High Floor
2.21,sector 81,1881.0,3,3,3+,1,Relatively New,1,Medium,Mid Floor
1.48,sector 83,1549.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
0.98,sector 108,978.23,2,3,3,1,Relatively New,0,Medium,Mid Floor
2.04,sector 102,1644.0,3,3,3+,0,Relatively New,0,Medium,Low Floor
1.5,sector 85,2017.0,4,5,3+,1,New Property,2,Low,Mid Floor
1.49,sector 85,2017.0,4,5,3+,1,Relatively New,2,Medium,Mid Floor
1.2,sector 85,1650.0,3,4,2,1,Relatively New,0,Low,Mid Floor
0.86,sector 90,1525.0,3,4,3,1,Relatively New,2,Medium,Low Floor
0.9,sector 85,1575.0,4,4,3,0,Moderately Old,2,Low,Mid Floor
2.0,sector 95,1964.0,3,4,3+,1,New Property,0,Low,Mid Floor
1.85,sector 69,1819.0,4,4,2,0,Relatively New,2,High,High Floor
2.65,sector 104,2090.0,3,4,3,1,Relatively New,2,High,High Floor
1.5,sector 102,1315.0,3,3,3,1,Relatively New,2,High,Mid Floor
1.75,sector 109,1550.0,3,3,3,1,Relatively New,2,Low,Mid Floor
1.32,sector 104,1403.0,2,2,2,0,Relatively New,0,Medium,Mid Floor
0.8,sector 83,1195.0,2,2,2,1,Moderately Old,0,Low,Mid Floor
1.2,sector 108,1550.0,3,2,3+,2,Relatively New,2,High,High Floor
6.5,sector 62,3925.0,4,4,3+,1,Moderately Old,0,Medium,Mid Floor
1.17,sector 106,1186.0,3,4,3+,1,Relatively New,0,Low,High Floor
1.15,sector 106,1305.0,3,4,3,2,Relatively New,0,Low,Mid Floor
2.48,sector 113,1980.0,3,3,3+,1,New Property,0,Medium,Mid Floor
1.35,sector 56,1450.0,3,3,3+,1,Old Property,2,High,Mid Floor
1.15,sector 103,1080.0,2,2,3,1,Relatively New,2,High,Mid Floor
2.95,sector 108,1600.0,3,4,2,0,Relatively New,0,Low,High Floor
3.4,sector 67,2134.0,3,4,3,1,Relatively New,2,High,High Floor
2.8,sector 67,1853.0,3,3,3,1,Relatively New,1,High,Low Floor
2.15,sector 109,1896.0,3,4,3,1,Relatively New,0,Medium,Mid Floor
1.76,sector 102,1531.0,3,3,3,0,Relatively New,0,Medium,Low Floor
3.45,sector 111,2670.0,4,5,3+,1,Relatively New,0,Medium,Mid Floor
3.3,sector 110,3032.0,4,5,3,1,Relatively New,0,Medium,Mid Floor
1.75,sector 104,2072.0,3,4,3+,1,Relatively New,0,Medium,High Floor
2.78,sector 104,2851.0,4,4,3+,1,Relatively New,0,Medium,High Floor
1.42,sector 106,2131.0,4,6,3+,1,Relatively New,0,Medium,High Floor
2.4,sector 102,1957.0,4,4,3+,0,Relatively New,0,Medium,High Floor
2.28,sector 108,2515.0,4,5,3+,0,Relatively New,0,Medium,Mid Floor
1.9,sector 108,1250.0,2,2,2,0,Relatively New,0,Medium,Mid Floor
3.25,sector 108,1875.0,3,3,3,0,Relatively New,0,Medium,High Floor
1.6,sector 109,2303.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
4.45,sector 104,7222.0,4,5,3+,0,Relatively New,0,Medium,High Floor
0.82,sector 107,1236.0,2,2,3+,0,Relatively New,0,Medium,Mid Floor
0.5,sector 107,717.0,3,2,2,1,Relatively New,0,Low,Mid Floor
0.52,sector 107,717.0,3,2,2,1,Relatively New,0,Low,Mid Floor
0.28,sector 107,543.0,2,2,2,0,Relatively New,0,Low,Mid Floor
0.29,sector 107,543.0,2,2,2,0,Relatively New,0,Low,Mid Floor
0.97,sector 108,1167.0,2,2,3,1,Relatively New,0,High,Mid Floor
